C,gamma,kernel,train_accuracy,test_accuracy,macro_f1,training_time
0.1,scale,rbf,0.6711018089400508,0.6297872340425532,0.6296156007667736,244.94212913513184
0.1,scale,linear,0.9982060098669457,0.9610942249240122,0.9463059535209795,44.8515260219574
0.1,auto,rbf,0.07131110778890716,0.06808510638297872,0.02718103804575616,393.97426772117615
1.0,scale,rbf,0.9506652713410076,0.9100303951367781,0.896751076307453,93.77224707603455
1.0,scale,linear,0.9998505008222455,0.9562310030395137,0.9245203927478374,39.42637300491333
1.0,auto,rbf,0.5682463746449394,0.5349544072948328,0.5478536109420463,219.29815816879272
10.0,scale,rbf,0.9983555090447003,0.9671732522796352,0.9532422389097079,71.38729691505432
10.0,scale,linear,1.0,0.9531914893617022,0.9237196227056986,37.25119423866272
10.0,auto,rbf,0.8962475706383615,0.8662613981762918,0.8635964323217833,79.54964423179626
100.0,scale,rbf,0.9998505008222455,0.9671732522796352,0.9332715978127203,70.25182127952576
100.0,scale,linear,1.0,0.9531914893617022,0.9237196227056986,36.82196497917175
100.0,auto,rbf,0.9911795485124831,0.9641337386018237,0.9539073017747657,41.32060694694519
