n_estimators,max_depth,max_features,accuracy,macro_f1,training_time
50,10,sqrt,0.8048632218844984,0.7820901526514294,2.391486883163452
50,10,log2,0.827355623100304,0.8062444727525145,0.5924272537231445
50,20,sqrt,0.9416413373860182,0.8845016115057418,3.8626480102539062
50,20,log2,0.9361702127659575,0.8814337261956834,0.8097469806671143
50,30,sqrt,0.9531914893617022,0.8980130085537028,3.9214768409729004
50,30,log2,0.939209726443769,0.8796695387760252,0.6831836700439453
50,None,sqrt,0.9452887537993921,0.892558579695693,4.166549205780029
50,None,log2,0.939209726443769,0.881545022045785,0.849196195602417
100,10,sqrt,0.8249240121580547,0.8003404418176931,4.41528058052063
100,10,log2,0.843161094224924,0.8222812744540404,0.932039737701416
100,20,sqrt,0.9519756838905775,0.9015141081586925,7.4563069343566895
100,20,log2,0.9477203647416413,0.8986344899656108,1.1720097064971924
100,30,sqrt,0.9562310030395137,0.9027255196060141,7.660201787948608
100,30,log2,0.9477203647416413,0.8929129521875865,1.3136682510375977
100,None,sqrt,0.9519756838905775,0.8983375057407945,7.8736279010772705
100,None,log2,0.948936170212766,0.8943220699551901,1.3303182125091553
200,10,sqrt,0.8419452887537994,0.8392257593480281,8.269346475601196
200,10,log2,0.8516717325227964,0.8293505222983677,1.5660650730133057
200,20,sqrt,0.9623100303951367,0.9306462634995062,14.214547872543335
200,20,log2,0.9519756838905775,0.8977635211500051,2.137355089187622
200,30,sqrt,0.9604863221884499,0.9111328365540386,14.817357301712036
200,30,log2,0.9513677811550152,0.898968797615023,2.150768518447876
200,None,sqrt,0.9604863221884499,0.9093381810851613,14.67483401298523
200,None,log2,0.9513677811550152,0.9003922855421449,2.176867961883545
300,10,sqrt,0.8395136778115502,0.8358588536000143,12.217246294021606
300,10,log2,0.8571428571428571,0.8357612690947499,2.0818161964416504
300,20,sqrt,0.9592705167173252,0.9278642833854475,20.603477478027344
300,20,log2,0.9525835866261398,0.8976111984320174,2.8993563652038574
300,30,sqrt,0.9641337386018237,0.9123554999023396,21.304065227508545
300,30,log2,0.9544072948328267,0.8992783661250496,3.1428792476654053
300,None,sqrt,0.9617021276595744,0.9289045695450656,21.14227604866028
300,None,log2,0.955015197568389,0.9050605721491631,3.089012622833252
